Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,9,20.85448926,,,,,,,,,,,,,,,,,
,9,11.1784688,,,,,,,,,,,,,,,,,
,9.1,69.75064596,,,,,,,,,,,,,,,,,
,9.1,52.97887717,,,,,,,,,,,,,,,,,
,9.1,20.85448926,,,,,,,,,,,,,,,,,
,9.1,10.92044159,,,,,,,,,,,,,,,,,
,9.2,69.36360514,,,,,,,,,,,,,,,,,
,9.2,52.33380914,,,,,,,,,,,,,,,,,
,9.2,20.46744844,,,,,,,,,,,,,,,,,
,9.2,10.92044159,,,,,,,,,,,,,,,,,
,9.3,67.94445548,,,,,,,,,,,,,,,,,
,9.3,52.20479553,,,,,,,,,,,,,,,,,
,9.3,19.82238041,,,,,,,,,,,,,,,,,
,9.4,66.52530581,,,,,,,,,,,,,,,,,
,9.4,50.78564587,,,,,,,,,,,,,,,,,
,9.4,18.91928517,,,,,,,,,,,,,,,,,
,9.5,66.52530581,,,,,,,,,,,,,,,,,
,9.5,48.33438735,,,,,,,,,,,,,,,,,
,9.5,18.91928517,,,,,,,,,,,,,,,,,
,9.6,65.88023778,,,,,,,,,,,,,,,,,
,9.6,48.33438735,,,,,,,,,,,,,,,,,
,9.6,18.27421714,,,,,,,,,,,,,,,,,
,9.7,62.91292484,,,,,,,,,,,,,,,,,
,9.7,47.43129211,,,,,,,,,,,,,,,,,
,9.7,17.88717632,,,,,,,,,,,,,,,,,
,9.8,62.78391123,,,,,,,,,,,,,,,,,
,9.8,46.27016966,,,,,,,,,,,,,,,,,
,9.8,17.88717632,,,,,,,,,,,,,,,,,
,9.9,62.78391123,,,,,,,,,,,,,,,,,
,9.9,45.23806081,,,,,,,,,,,,,,,,,
,9.9,17.5001355,,,,,,,,,,,,,,,,,
,10,62.52588402,,,,,,,,,,,,,,,,,
,10,45.23806081,,,,,,,,,,,,,,,,,
,10,16.98408108,,,,,,,,,,,,,,,,,
,10.1,60.07462551,,,,,,,,,,,,,,,,,
,10.1,44.20595196,,,,,,,,,,,,,,,,,
,10.2,60.07462551,,,,,,,,,,,,,,,,,
,10.2,43.56088393,,,,,,,,,,,,,,,,,
,10.3,59.9456119,,,,,,,,,,,,,,,,,
,10.3,43.56088393,,,,,,,,,,,,,,,,,
,10.4,59.55857108,,,,,,,,,,,,,,,,,
,10.4,42.9158159,,,,,,,,,,,,,,,,,
,10.5,59.17153026,,,,,,,,,,,,,,,,,
,10.5,42.14173426,,,,,,,,,,,,,,,,,
,10.6,59.17153026,,,,,,,,,,,,,,,,,
,10.6,41.36765262,,,,,,,,,,,,,,,,,
,10.7,41.36765262,,,,,,,,,,,,,,,,,
,10.8,40.98061181,,,,,,,,,,,,,,,,,
,10.8,15.56493141,,,,,,,,,,,,,,,,,
,10.9,40.59357099,,,,,,,,,,,,,,,,,
,10.9,15.56493141,,,,,,,,,,,,,,,,,
,11,56.97829896,,,,,,,,,,,,,,,,,
,11,40.59357099,,,,,,,,,,,,,,,,,
,11,15.4359178,,,,,,,,,,,,,,,,,
,11.1,56.84928535,,,,,,,,,,,,,,,,,
,11.1,40.33554378,,,,,,,,,,,,,,,,,
,11.1,15.3069042,,,,,,,,,,,,,,,,,
,11.2,56.59125814,,,,,,,,,,,,,,,,,
,11.2,40.07751656,,,,,,,,,,,,,,,,,
,11.2,15.3069042,,,,,,,,,,,,,,,,,
,11.3,56.59125814,,,,,,,,,,,,,,,,,
,11.3,39.81948935,,,,,,,,,,,,,,,,,
,11.3,15.17789059,,,,,,,,,,,,,,,,,
,11.4,56.33323093,,,,,,,,,,,,,,,,,
,11.4,39.81948935,,,,,,,,,,,,,,,,,
,11.4,15.17789059,,,,,,,,,,,,,,,,,
,11.5,56.20421732,,,,,,,,,,,,,,,,,
,11.5,39.69047575,,,,,,,,,,,,,,,,,
,11.5,15.17789059,,,,,,,,,,,,,,,,,
,11.6,56.20421732,,,,,,,,,,,,,,,,,
,11.6,39.69047575,,,,,,,,,,,,,,,,,
,11.6,15.17789059,,,,,,,,,,,,,,,,,
,11.7,39.69047575,,,,,,,,,,,,,,,,,
,11.8,39.69047575,,,,,,,,,,,,,,,,,
,11.9,39.69047575,,,,,,,,,,,,,,,,,
,12,39.69047575,,,,,,,,,,,,,,,,,
,12.1,39.69047575,,,,,,,,,,,,,,,,,
,12.2,39.81948935,,,,,,,,,,,,,,,,,
,12.3,39.81948935,,,,,,,,,,,,,,,,,
,12.4,39.81948935,,,,,,,,,,,,,,,,,
,12.5,56.72027175,,,,,,,,,,,,,,,,,
,12.5,40.20653017,,,,,,,,,,,,,,,,,
,12.6,56.59125814,,,,,,,,,,,,,,,,,
,12.6,40.46455738,,,,,,,,,,,,,,,,,
,12.7,56.59125814,,,,,,,,,,,,,,,,,
,12.7,40.72258459,,,,,,,,,,,,,,,,,
,12.7,15.17789059,,,,,,,,,,,,,,,,,
,12.8,56.84928535,,,,,,,,,,,,,,,,,
,12.8,40.72258459,,,,,,,,,,,,,,,,,
,12.8,15.3069042,,,,,,,,,,,,,,,,,
,12.9,57.10731257,,,,,,,,,,,,,,,,,
,12.9,40.98061181,,,,,,,,,,,,,,,,,
,12.9,15.3069042,,,,,,,,,,,,,,,,,
,13,57.10731257,,,,,,,,,,,,,,,,,
,13,41.23863902,,,,,,,,,,,,,,,,,
,13,15.4359178,,,,,,,,,,,,,,,,,
,13.1,57.23632617,,,,,,,,,,,,,,,,,
,13.1,41.23863902,,,,,,,,,,,,,,,,,
,13.1,15.56493141,,,,,,,,,,,,,,,,,
,13.2,41.49666623,,,,,,,,,,,,,,,,,
,13.2,15.56493141,,,,,,,,,,,,,,,,,
